"STUDIEJAAR","PROVINCIENAAM","GEMEENTENUMMER","GEMEENTENAAM","SOORT_INSTELLING","TYPE_HOGER_ONDERWIJS","INSTELLINGSCODE_ACTUEEL","INSTELLINGSNAAM_ACTUEEL","ONDERDEEL","SUBONDERDEEL","OPLEIDINGSCODE_ACTUEEL","OPLEIDINGSNAAM_ACTUEEL","AANTAL_INGESCHREVENEN"
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35196","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Frans",43
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35197","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Geschiedenis",244
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35198","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Nederlands",286
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35199","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Scheikunde",68
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35201","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Aardrijkskunde",97
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35207","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Economie",133
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35221","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Wiskunde",173
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35261","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Natuurkunde",80
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35301","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Biologie",129
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35388","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Gezondheidszorg en Welzijn",174
