"DIPLOMAJAAR","PROVINCIENAAM","GEMEENTENUMMER","GEMEENTENAAM","SOORT_INSTELLING","INSTELLINGSCODE_ACTUEEL","INSTELLINGSNAAM_ACTUEEL","ONDERDEEL","SUBONDERDEEL","SOORT_DIPLOMA","GESLACHT","AANTAL_GEDIPLOMEERDEN"
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo associate degree","MAN",19
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo associate degree","VROUW",38
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo bachelor","MAN",256
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo bachelor","VROUW",732
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo master","MAN",-1
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo master","VROUW",9
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo associate degree","MAN",10
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo associate degree","VROUW",22
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo bachelor","MAN",161
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo bachelor","VROUW",831
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo master","MAN",27
